Sequencing Type,Mutation Count
WES + RNA-Seq,2
WES + RNA-Seq,32
WES,369
WES + RNA-Seq,71
WES,649
WES,73
WES + RNA-Seq,64
WES,39
WES + RNA-Seq,20
WES + RNA-Seq,80
WES + RNA-Seq,22
WES + RNA-Seq,55
WES + RNA-Seq,123
WES + RNA-Seq,42
WES + RNA-Seq,88
WES + RNA-Seq,49
WES,59
WES + RNA-Seq,29
WES,59
WES + RNA-Seq,61
WES + RNA-Seq,45
WES + RNA-Seq,66
WES + RNA-Seq,142
WES + RNA-Seq,67
WES + RNA-Seq,25
WES,721
WES + RNA-Seq,1052
WES + RNA-Seq,54
WES + RNA-Seq,24
WES + RNA-Seq,47
WES + RNA-Seq,37
WES + RNA-Seq,85
WES + RNA-Seq,31
WES + RNA-Seq,12
WES + RNA-Seq,127
WES,68
WES + RNA-Seq,534
WES + RNA-Seq,35
WES + RNA-Seq,72
WES + RNA-Seq,1
WES + RNA-Seq,52
WES + RNA-Seq,291
WES + RNA-Seq,51
WES,71
WES + RNA-Seq,10
WES + RNA-Seq,66
WES,35
WES + RNA-Seq,149
WES,169
WES + RNA-Seq,38
WES,46
WES + RNA-Seq,50
WES + RNA-Seq,58
WES + RNA-Seq,74
WES + RNA-Seq,54
WES + RNA-Seq,47
WES + RNA-Seq,27
WES + RNA-Seq,25
WES,73
WES + RNA-Seq,53
WES + RNA-Seq,75
WES + RNA-Seq,116
WES + RNA-Seq,564
WES + RNA-Seq,70
WES + RNA-Seq,118
WES + RNA-Seq,34
WES + RNA-Seq,32
WES + RNA-Seq,32
WES + RNA-Seq,40
WES + RNA-Seq,83
WES + RNA-Seq,236
WES + RNA-Seq,16
WES + RNA-Seq,18
WES + RNA-Seq,47
WES + RNA-Seq,116
WES + RNA-Seq,78
WES + RNA-Seq,381
WES + RNA-Seq,78
WES + RNA-Seq,164
WES + RNA-Seq,64
WES + RNA-Seq,47
WES + RNA-Seq,65
WES + RNA-Seq,39
WES + RNA-Seq,50
WES + RNA-Seq,73
WES + RNA-Seq,136
WES + RNA-Seq,15
WES + RNA-Seq,551
WES + RNA-Seq,15
WES + RNA-Seq,13
WES + RNA-Seq,44
WES + RNA-Seq,4
WES + RNA-Seq,6
WES + RNA-Seq,523
WES + RNA-Seq,59
WES + RNA-Seq,210
WES + RNA-Seq,81
WES + RNA-Seq,244
WES + RNA-Seq,3
WES + RNA-Seq,63
WES,4
WES,117
WES,601
WES,197
WES,431
WES,692
WES + RNA-Seq,90
WES + RNA-Seq,32
WES + RNA-Seq,15
WES + RNA-Seq,40
WES + RNA-Seq,72
WES + RNA-Seq,92
WES + RNA-Seq,31
WES + RNA-Seq,201
WES + RNA-Seq,48
WES + RNA-Seq,121
WES + RNA-Seq,10
WES + RNA-Seq,26
WES + RNA-Seq,71
WES + RNA-Seq,33
WES + RNA-Seq,137
WES + RNA-Seq,75
WES + RNA-Seq,92
WES + RNA-Seq,53
WES + RNA-Seq,7
WES + RNA-Seq,73
WES + RNA-Seq,136
WES + RNA-Seq,204
WES + RNA-Seq,15
WES + RNA-Seq,55
WES + RNA-Seq,30
WES + RNA-Seq,442
WES + RNA-Seq,48
WES + RNA-Seq,143
WES + RNA-Seq,50
WES + RNA-Seq,61
WES + RNA-Seq,83
WES + RNA-Seq,52
WES + RNA-Seq,47
WES + RNA-Seq,62
WES + RNA-Seq,20
WES + RNA-Seq,58
WES + RNA-Seq,50
WES + RNA-Seq,26
WES + RNA-Seq,65
WES + RNA-Seq,81
WES,36
WES + RNA-Seq,59
WES + RNA-Seq,1044
WES + RNA-Seq,54
WES + RNA-Seq,55
WES + RNA-Seq,27
WES + RNA-Seq,47
WES + RNA-Seq,23
WES + RNA-Seq,36
WES + RNA-Seq,54
WES,4
WES,139
WES,94
WES,27
WES + RNA-Seq,70
WES + RNA-Seq,53
WES + RNA-Seq,30
WES + RNA-Seq,34
WES + RNA-Seq,48
WES + RNA-Seq,38
WES + RNA-Seq,39
WES + RNA-Seq,29
WES + RNA-Seq,35
WES + RNA-Seq,145
WES + RNA-Seq,47
WES + RNA-Seq,56
WES + RNA-Seq,35
WES,59
WES + RNA-Seq,26
WES + RNA-Seq,76
WES + RNA-Seq,81
WES + RNA-Seq,48
WES + RNA-Seq,47
WES,65
WES,73
WES + RNA-Seq,6
WES,68
WES + RNA-Seq,15
WES + RNA-Seq,2
WES,1
WES,68
WES + RNA-Seq,47
WES + RNA-Seq,108
WES,140
WES + RNA-Seq,2
WES + RNA-Seq,7
WES + RNA-Seq,251
WES + RNA-Seq,108
WES + RNA-Seq,42
WES + RNA-Seq,20
WES,38
WES + RNA-Seq,15
WES + RNA-Seq,48
WES + RNA-Seq,81
WES + RNA-Seq,51
WES + RNA-Seq,13
WES + RNA-Seq,25
WES + RNA-Seq,57
WES + RNA-Seq,723
WES + RNA-Seq,45
WES + RNA-Seq,90
WES + RNA-Seq,30
WES,87
WES,44
WES,547
WES,35
WES,48
WES,257
WES,213
WES,48
WES,344
WES,29
WES,33
WES,322
WES,17
WES,218
WES,240
WES,180
WES,169
WES,27
WES,431
WES,244
WES,24
WES,169
WES,328
WES,94
WES,44
WES,37
WES,95
WES,30
WES,74
WES,38
WES,38
WES,43
WES,49
WES,227
WES,230
WES,136
WES,18
WES,72
WES,82
WES,42
WES,177
WES,151
WES,72
WES,156
WES,19
WES,31
WES,37
WES,313
WES,21
WES,25
WES,18
WES,48
WES,26
WES,19
WES,82
WES,148
WES,144
WES,24
WES,28
WES,31
WES,63
WES,107
WES,290
WES,546
WES,75
WES,940
WES,102
WES,50
WES,31
WES,37
WES,719
WES,19
WES,495
WES,47
WES,37
WES,39
WES,72
WES,130
WES,45
WES,67
WES,93
WES,17
WES,108
WES,28
WES,28
WES,97
WES,100